code, description
600632,"""Dyed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding . . ."
600631,"""Unbleached or bleached fabrics, knitted or crocheted, of synthetic fibres, of a width of > . . ."
600634,"""Printed fabrics, knitted or crocheted, of synthetic fibres, of a width of > 30 cm (excluding . . ."
600642,"""Dyed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding . . ."
600633,"""Fabrics, knitted or crocheted, of synthetic fibres, of yarns of different colours, of a width . . ."
600624,"""Printed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics . . ."
600622,"""Dyed cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding warp knit fabrics . . ."
600641,"""Unbleached or bleached fabrics, knitted or crocheted, of artificial fibres, of a width of . . ."
600690,"""Fabrics, knitted or crocheted, of a width of > 30 cm (excluding of man-made fibres, cotton, . . ."
600644,"""Printed fabrics, knitted or crocheted, of artificial fibres, of a width of > 30 cm (excluding . . ."
600621,"""Unbleached or bleached cotton fabrics, knitted or crocheted, of a width of > 30 cm (excluding . . ."
600643,"""Fabrics, knitted or crocheted, of artificial fibres, of yarns of different colours, of a width . . ."
600623,"""Cotton fabrics, knitted or crocheted, of yarns of different colours, of a width of > 30 cm . . ."
600610,"""Fabrics, knitted or crocheted, of a width of > 30 cm, of wool or fine animal hair (excluding . . ."
600537,"""Dyed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", . . ."
600536,"""Unbleached or bleached warp knit fabrics of synthetic fibres """"incl. those made on galloon . . ."
600590,"""Warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width of > 30 cm . . ."
600539,"""Printed warp knit fabrics of synthetic fibres """"incl. those made on galloon knitting machines"""", . . ."
600541,"""Unbleached or bleached warp knit fabrics of artificial fibres """"incl. those made on galloon . . ."
600538,"""Warp knit fabrics of synthetic fibres, of yarns of different colours """"incl. those made on . . ."
600535,"Warp knit fabrics of synthetic fibres, antimalarial, of a width of > 30 cm"
600542,"""Dyed warp knit fabrics of artificial fibres """"incl. those made on galloon knitting machines"""", . . ."
600521,"""Unbleached or bleached cotton warp knit fabrics """"incl. those made on galloon knitting machines"""", . . ."
600522,"""Dyed cotton warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width . . ."
600524,"""Printed cotton warp knit fabrics """"incl. those made on galloon knitting machines"""", of a width . . ."
600543,"""Warp knit fabrics of artificial fibres, of yarns of different colours """"incl. those made on . . ."
600544,"""Printed warp knit fabrics of artificial fibres """"incl. those made on galloon knitting machines"""", . . ."
600523,"""Cotton warp knit fabrics of yarns of different colours """"incl. those made on galloon knitting . . ."
600122,"Looped pile fabrics of man-made fibres, knitted or crocheted"
600192,"""Pile fabrics of man-made fibres, knitted or crocheted (excluding """"long pile"""" fabrics)"""
600110,"""""""Long pile"""" fabrics, knitted or crocheted"""
600129,"Looped pile fabrics, knitted or crocheted (excluding of cotton or man-made fibres)"
600191,"""Pile fabrics of cotton, knitted or crocheted (excluding """"long pile"""" fabrics)"""
600199,"""Pile fabrics, knitted or crocheted (excluding cotton or man-made fibres and """"long pile"""" . . ."
600121,"Looped pile fabrics of cotton, knitted or crocheted"
600410,"""Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric . . ."
600490,"""Knitted or crocheted fabrics, of a width of > 30 cm, containing >= 5% by weight elastomeric . . ."
600330,"""Knitted or crocheted fabrics of synthetic fibres, of a width of <= 30 cm (excluding those . . ."
600340,"""Knitted or crocheted fabrics of artificial fibres, of a width of <= 30 cm (excluding those . . ."
600320,"""Knitted or crocheted fabrics of cotton, of a width of <= 30 cm (excluding those containing . . ."
600390,"""Knitted or crocheted fabrics of a width of <= 30 cm (excluding of cotton, man-made fibres, . . ."
600310,"""Knitted or crocheted fabrics of wool or fine animal hair, of a width of <= 30 cm (excluding . . ."
600290,"""Knitted or crocheted fabrics, of a width of <= 30 cm, containing >= 5% by weight elastomeric . . ."
600240,"""Knitted or crocheted fabrics, of a width of <= 30 cm, containing >= 5% by weight elastomeric . . ."
